,vehicle_id,consistency_pct,live_pct,gsm_average,heart_beat,analysis_for_day,vehicle_number,model_name,installation_date
34,1682478,99.93,87.43,71.77,No heartbeat,2022-01-08,HR038AC5450,WEYE01,2021-11-20
35,1681968,100.0,85.21,60.56,No heartbeat,2022-01-08,NL011AA4762,WEYE01,2021-11-20
36,1682332,61.39,60.07,73.18,No heartbeat,2022-01-08,HR138AC7975,WEYE01,2021-11-20
37,1681792,90.62,83.26,84.0,No heartbeat,2022-01-08,NL001AB1652,WEYE01,2021-11-20
38,1682062,99.86,89.93,65.49,No heartbeat,2022-01-08,NL011AB1894,WEYE01,2021-11-20
39,1681662,91.11,82.29,63.16,No heartbeat,2022-01-08,HR055X2249,WEYE01,2021-11-20
40,1682191,99.1,90.97,85.01,No heartbeat,2022-01-08,HR038AC9564,WEYE01,2021-11-20
41,1696471,0.0,0.0,0.0,No data,2022-01-08,HR055X2602,TMG,2021-11-27
42,1696574,100.0,91.25,74.69,No heartbeat,2022-01-08,HR055Y1278,TMG,2021-11-27
43,1696544,95.76,87.57,79.91,No heartbeat,2022-01-08,NL010AC2624,TMG,2021-11-27
44,1696606,0.0,0.0,0.0,No data,2022-01-08,HR055Y8651,TMG,2021-11-27
45,1696506,90.83,76.94,60.36,No heartbeat,2022-01-08,NL001AC4180,TMG,2021-11-27
46,1697499,100.0,87.71,81.45,No heartbeat,2022-01-08,NL001AC0798,TMG,2021-11-28
47,1697119,100.0,87.5,86.48,No heartbeat,2022-01-08,NL001AF0483,TMG,2021-11-28
48,1697202,75.21,61.6,70.64,No heartbeat,2022-01-08,HR038AC9561,TMG,2021-11-28
49,1697533,99.93,78.12,73.56,No heartbeat,2022-01-08,HR0038AC0788,TMG,2021-11-28
50,1697622,99.93,91.46,72.42,No heartbeat,2022-01-08,NL001AC2881,TMG,2021-11-28
51,1697575,99.93,87.92,70.49,No heartbeat,2022-01-08,NL001AC0284,TMG,2021-11-28
52,1697468,100.0,90.83,74.41,No heartbeat,2022-01-08,NL001AC4193,TMG,2021-11-28
53,1697276,90.0,78.12,83.77,No heartbeat,2022-01-08,NL001AD9861,TMG,2021-11-28
54,1697339,52.15,38.75,53.01,No heartbeat,2022-01-08,HR055W0408,TMG,2021-12-01
